 ,Area,Mean,Min,Max
1,64099.896,95.106,55,141
2,28498.092,101.927,66,145
3,203.862,109.378,82,135
4,175.743,109.087,90,119
5,186.842,100.461,81,122
6,230.871,109.817,85,130
7,164.828,93.356,80,109
8,192.762,98.714,81,114
9,527.044,106.312,70,130
10,221.251,109.785,82,133
11,319.297,105.374,71,129
12,238.270,104.592,82,122
13,257.140,107.476,87,130
14,310.972,99.916,76,119
15,255.105,96.004,77,125
16,133.565,106.409,86,122
17,275.269,112.448,93,130
18,396.254,105.246,84,123
19,293.213,99.230,77,115
20,231.426,100.802,85,121
21,307.827,96.404,74,115
22,453.787,105.938,79,129
23,272.864,95.254,67,108
24,158.354,99.638,71,116
25,367.025,99.916,64,131
26,168.158,100.883,70,121
27,306.348,97.606,78,114
28,192.947,106.237,85,123
29,148.734,98.388,79,110
30,327.437,99.286,81,121
31,324.477,103.454,75,126
32,253.625,101.666,85,122
33,225.136,101.468,75,126
34,166.123,99.072,84,114
35,275.084,97.719,72,119
36,110.071,100.755,85,117
37,178.148,97.659,85,114
38,419.748,92.810,78,109
39,179.813,96.809,81,114
40,138.189,101.991,83,122
41,251.405,103.130,82,121
42,372.575,102.174,71,125
43,397.734,98.135,70,122
44,278.969,92.489,75,110
45,243.635,95.583,70,119
46,208.302,97.274,72,115
47,167.603,96.341,68,119
48,140.779,98.779,85,112
49,147.069,98.345,87,112
50,162.978,97.033,76,110
51,168.713,99.404,80,113
52,157.984,103.422,78,117
53,87.131,96.423,86,110
54,214.036,85.794,72,110
55,182.403,89.569,71,106
56,237.160,91.983,71,108
57,253.255,90.342,70,109
58,133.935,102.424,86,116
59,221.621,96.969,80,120
60,207.562,103.536,84,118
61,214.961,98.685,82,113
62,148.549,100.189,84,118
63,71.777,99.740,80,113
64,123.020,91.541,68,106
65,268.424,93.266,82,109
66,249.000,94.027,74,113
67,578.102,108.946,78,140
68,195.537,112.751,89,130
69,321.887,108.570,89,129
70,323.737,104.905,74,125
71,273.234,104.700,79,125
72,414.383,110.699,85,137
73,336.131,108.673,88,129
74,324.847,110.562,87,125
75,148.179,110.187,92,126
76,107.851,106.768,94,119
77,281.929,108.717,88,131
78,172.228,109.002,90,127
79,243.635,109.802,88,131
80,142.444,113.049,89,130
81,138.374,109.013,93,124
82,101.561,116.368,98,129
83,118.210,110.826,94,126
84,121.540,104.546,90,120
85,90.276,112.717,91,126
86,134.490,112.468,94,125
87,135.414,98.859,82,112
88,185.917,106.236,86,118
89,154.099,106.126,94,120
90,122.465,109.387,84,130
91,61.787,99.311,91,109
92,95.086,107.558,87,122
93,98.046,113.457,94,125
94,55.313,113.853,98,132
95,135.969,96.739,82,115
96,166.678,90.984,77,105
97,159.649,102.012,82,125
98,283.963,115.026,90,141
99,125.425,120.295,108,136
100,160.573,117.835,100,137
101,209.227,114.194,96,136
