 ,Area,Mean,Min,Max
1,73881.929,97.480,27,149
2,24482.645,102.381,62,141
3,221.436,93.043,79,116
4,112.660,98.192,84,111
5,185.177,90.414,72,109
6,234.200,92.636,76,110
7,216.441,94.932,75,113
8,273.974,97.330,73,125
9,317.632,93.699,73,115
10,322.072,97.833,67,121
11,425.298,102.539,89,118
12,163.903,93.059,75,106
13,342.976,98.558,78,122
14,163.348,92.205,73,108
15,254.365,95.283,74,114
16,520.384,97.221,69,121
17,240.490,92.489,68,109
18,169.453,94.543,77,112
19,204.972,97.899,82,110
20,222.916,92.724,72,109
21,202.752,92.913,73,106
22,167.418,87.873,71,107
23,126.350,93.741,75,111
24,327.252,89.666,68,112
25,191.837,96.534,72,117
26,169.083,102.302,87,115
27,352.596,97.022,87,112
28,157.059,93.741,81,108
29,235.495,95.513,77,117
30,95.826,96.367,80,114
31,214.221,96.488,73,120
32,249.185,102.265,74,127
33,192.207,93.785,73,111
34,191.467,88.374,74,102
35,88.056,95.124,79,110
36,110.256,89.886,73,105
37,168.528,90.184,66,113
38,266.204,91.741,69,112
39,265.094,97.477,66,113
40,112.845,95.431,68,115
41,94.716,98.738,78,125
42,146.699,93.676,84,109
43,221.806,97.998,78,112
44,156.319,104.999,87,120
45,128.200,99.489,86,116
46,185.917,98.684,80,114
47,156.504,104.398,84,122
48,108.591,91.560,78,105
49,116.545,102.551,85,117
50,323.737,105.085,81,128
51,170.748,92.343,74,110
52,262.504,94.089,70,109
53,150.214,94.856,80,108
54,225.506,92.147,73,109
55,257.140,94.281,68,111
56,367.395,100.801,82,115
57,176.668,92.372,76,107
58,202.012,93.006,73,111
59,187.397,88.986,77,107
60,107.111,104.522,90,119
61,113.400,113.147,88,125
62,91.571,102.307,93,118
63,118.025,93.861,57,115
64,126.905,93.681,71,127
65,125.795,93.787,76,108
66,101.931,94.403,79,108
67,133.750,97.148,78,109
68,154.839,87.810,76,98
69,150.584,109.201,83,128
70,196.832,105.557,80,133
71,134.305,109.858,68,137
72,258.435,112.319,90,128
73,157.799,102.589,83,119
74,369.430,106.384,80,128
75,158.909,104.825,87,121
76,297.653,107.897,85,128
77,190.542,107.239,87,130
78,221.806,103.972,86,126
79,209.781,100.115,89,111
80,166.863,100.670,76,119
81,66.597,100.050,80,116
82,295.063,106.681,84,134
83,190.172,95.600,71,127
84,219.586,101.653,74,119
85,177.408,98.060,81,116
86,218.291,103.790,86,129
87,235.495,101.837,67,127
88,139.854,104.516,81,119
89,237.715,101.741,81,121
90,97.861,100.242,81,115
91,186.842,111.028,93,132
92,168.343,104.963,81,118
93,163.533,114.543,91,132
94,140.964,89.213,71,101
95,145.959,102.397,82,117
