 ,Area,Mean,Min,Max
1,83185.739,94.903,24,150
2,28767.083,92.682,37,164
3,341.870,109.491,84,132
4,344.800,105.943,75,131
5,227.978,101.369,75,116
6,178.358,106.047,76,133
7,138.506,91.921,73,108
8,266.854,102.903,83,126
9,181.875,101.526,79,123
10,359.256,100.704,80,117
11,255.133,92.547,69,114
12,265.486,96.600,78,115
13,186.563,92.550,74,112
14,250.053,103.434,82,119
15,112.329,97.925,76,110
16,91.816,96.366,77,109
17,331.125,93.988,72,115
18,194.768,94.624,66,120
19,99.045,102.262,76,126
20,192.815,96.487,68,110
21,50.401,100.426,88,112
22,109.008,98.842,82,112
23,153.353,101.744,87,122
24,226.220,107.334,82,127
25,191.643,106.402,80,124
26,267.049,108.328,84,126
27,152.962,114.295,92,134
28,130.887,111.194,96,123
29,272.910,107.934,81,125
30,107.249,104.630,88,118
31,376.057,96.511,76,114
32,141.827,92.566,73,113
33,199.066,95.139,78,111
34,145.539,95.729,70,116
35,161.363,101.926,82,122
36,168.981,99.526,78,114
37,161.949,92.428,78,109
38,219.578,107.117,92,121
39,243.607,97.830,77,113
40,296.548,107.199,78,132
41,255.719,98.103,80,116
42,120.338,103.115,82,117
43,517.103,97.391,75,121
44,66.420,97.094,79,117
45,281.310,105.486,83,122
46,250.639,103.467,78,117
47,187.735,111.144,97,128
48,147.492,102.860,84,120
49,164.098,95.223,75,112
50,255.133,105.878,83,123
51,167.809,92.275,74,108
52,304.362,97.361,76,113
53,268.026,101.516,86,117
54,195.159,104.828,92,115
55,246.537,113.825,95,131
56,187.149,96.009,80,113
57,153.939,111.452,74,133
58,77.165,106.354,85,124
59,152.962,100.063,72,113
60,145.344,98.723,74,111
61,225.439,101.624,83,117
62,314.911,96.489,78,110
63,109.789,116.584,81,135
64,91.816,96.366,77,109
65,238.723,92.696,70,122
66,267.440,96.161,75,120
67,149.446,100.846,83,121
68,94.356,96.395,78,117
69,142.804,98.692,79,113
70,149.641,106.410,83,128
71,154.916,92.754,78,106
72,132.059,94.065,75,110
73,152.376,99.024,81,113
74,103.342,102.321,78,117
75,71.890,96.122,79,114
76,76.579,103.378,85,123
77,78.923,98.738,80,116
78,211.569,96.235,75,112
79,206.685,96.238,70,121
80,126.199,91.669,73,108
81,233.253,91.668,68,117
82,150.227,94.650,66,112
83,220.750,99.986,83,117
84,135.380,102.046,81,118
85,106.859,116.256,83,136
86,223.876,127.454,94,164
87,106.663,99.374,84,110
88,100.803,108.684,83,134
89,123.464,100.840,75,125
90,194.768,97.670,71,119
91,176.405,103.932,76,128
92,168.395,109.164,86,127
93,107.445,105.256,84,120
94,132.059,105.374,82,122
95,80.291,97.521,73,116
96,102.170,97.470,83,113
97,98.849,92.931,75,107
98,131.278,95.652,82,109
99,103.733,96.230,77,111
100,237.746,91.777,71,106
101,163.707,88.470,69,111
102,61.146,105.629,91,118
103,95.138,104.306,87,122
