 ,Area,Mean,Min,Max
1,69516.804,103.887,65,149
2,76866.030,116.487,57,178
3,378.987,111.673,86,138
4,203.364,108.843,83,128
5,305.534,114.566,94,136
6,300.259,113.668,90,140
7,361.991,112.547,79,132
8,234.034,108.179,90,125
9,533.317,110.037,83,134
10,173.670,115.109,97,130
11,178.554,112.980,92,129
12,116.626,107.745,91,124
13,90.644,106.325,79,124
14,229.541,116.451,97,129
15,115.454,108.147,93,120
16,198.089,113.759,90,131
17,941.998,107.876,84,134
18,170.154,112.186,86,138
19,226.025,101.522,73,121
20,356.131,101.708,79,118
21,169.567,103.582,85,121
22,138.311,120.246,93,135
23,243.802,115.977,95,134
24,176.405,115.836,88,130
25,103.538,107.551,84,129
26,138.115,106.349,85,124
27,462.794,97.944,76,116
28,119.557,104.866,85,117
29,123.464,102.310,76,125
30,371.759,117.838,90,141
31,235.011,100.396,82,120
32,126.199,105.607,75,127
33,163.316,109.852,79,129
34,156.869,110.669,77,125
35,142.023,119.171,86,149
36,91.035,114.294,92,132
37,212.741,107.440,76,131
38,244.388,113.634,94,131
39,130.887,120.245,90,142
40,296.743,108.547,90,131
41,320.381,101.177,72,120
42,158.628,108.342,79,148
43,154.134,116.227,93,131
44,175.623,108.449,84,130
45,142.413,110.774,97,127
46,137.334,114.353,93,132
47,141.436,114.780,95,130
48,120.143,133.732,112,145
49,84.393,126.919,119,134
50,146.125,140.021,125,151
51,124.831,132.329,110,147
52,202.973,134.137,120,147
53,145.734,132.523,106,154
54,235.206,138.174,103,161
55,251.616,131.623,100,151
56,181.875,130.971,103,152
57,162.144,146.010,118,170
58,274.473,140.478,115,156
59,134.404,144.054,125,158
60,288.343,143.459,117,159
61,197.894,138.013,101,156
62,153.744,136.258,116,150
63,274.082,135.387,105,152
64,351.247,132.899,107,154
65,300.064,135.723,108,154
66,156.479,122.511,94,137
67,208.248,118.005,99,133
68,286.194,125.833,104,148
69,240.676,126.433,96,156
70,351.833,122.642,89,141
71,387.583,133.997,112,152
72,150.813,126.788,105,148
73,199.261,127.905,112,139
74,257.477,133.290,112,145
75,202.973,130.451,110,160
76,155.502,130.744,114,145
77,164.488,130.412,111,150
78,243.607,119.990,93,140
79,234.620,108.123,86,122
80,299.283,126.497,98,147
81,192.619,116.917,90,139
82,275.059,112.656,83,135
83,347.144,117.662,93,135
84,1100.430,119.712,74,140
85,243.997,119.403,85,146
86,197.112,124.118,105,138
87,174.061,115.386,91,130
88,518.470,117.396,87,141
89,199.261,119.068,100,132
90,481.744,118.086,99,134
91,289.710,121.585,96,137
92,189.689,118.497,95,135
93,240.872,115.235,99,137
94,117.603,120.277,100,133
95,370.587,123.702,94,146
96,169.958,119.830,93,139
97,374.885,118.397,94,147
98,472.953,120.996,84,142
99,215.671,116.579,87,137
100,230.909,118.518,104,132
101,125.613,134.947,111,156
102,219.774,115.841,85,132
103,336.791,109.957,77,128
104,170.740,104.119,88,120
105,321.748,121.429,102,137
106,167.223,116.550,101,125
107,165.660,119.458,100,134
108,203.754,125.154,105,138
109,170.154,137.375,112,152
110,209.810,129.827,114,148
111,141.436,130.260,114,150
112,149.055,133.218,117,148
113,160.581,127.290,111,139
114,164.098,126.557,108,141
