 ,Area,Mean,Min,Max
1,87326.261,100.388,58,172
2,17536.293,100.922,74,144
3,284.975,114.263,89,133
4,176.036,126.942,97,141
5,268.017,119.166,100,134
6,194.469,116.563,90,136
7,169.216,125.489,104,141
8,250.874,118.500,100,140
9,232.994,122.836,93,143
10,145.253,119.796,104,135
11,197.602,122.122,101,137
12,177.142,113.475,93,130
13,170.690,112.973,93,130
14,176.773,110.979,98,126
15,201.842,116.526,90,136
16,206.266,112.503,90,127
17,131.059,114.646,103,128
18,165.529,115.316,96,128
19,133.455,110.830,96,126
20,184.331,114.843,101,131
21,164.607,115.709,101,127
22,190.229,110.742,88,126
23,255.114,112.665,85,128
24,103.409,120.911,110,136
25,119.262,107.280,94,120
26,235.943,114.532,90,130
27,241.473,117.043,97,132
28,115.944,114.273,92,129
29,224.146,105.280,84,117
30,144.884,107.137,88,127
31,214.929,118.560,93,137
32,173.824,116.674,104,131
33,123.686,117.303,97,131
34,214.745,115.790,95,132
35,186.543,110.465,87,131
36,277.418,113.936,93,130
37,127.372,110.297,90,129
38,177.142,108.924,84,126
39,177.142,108.924,84,126
40,282.763,115.731,90,132
41,64.147,116.842,101,128
42,98.433,112.904,92,138
43,163.501,115.741,95,131
44,181.197,114.445,83,134
45,108.018,112.413,94,125
46,181.381,111.980,89,126
47,194.837,106.793,87,122
48,187.464,113.503,95,128
49,185.621,113.540,98,126
50,245.897,108.328,88,123
51,244.054,111.045,92,129
52,115.760,108.697,91,120
53,150.967,107.237,93,124
54,135.852,115.202,87,131
55,181.750,108.272,91,126
56,172.349,111.261,98,123
57,204.607,110.716,90,132
58,260.459,120.047,100,134
59,246.819,115.071,93,129
60,113.548,112.742,94,133
61,211.427,113.883,87,131
62,237.049,119.444,94,136
63,161.105,109.364,80,122
64,229.307,117.948,96,137
65,181.934,125.209,107,143
66,176.220,119.049,103,133
67,183.040,116.638,101,135
68,244.054,116.248,92,134
69,147.649,116.824,99,133
70,218.432,121.993,102,138
71,198.893,112.087,93,127
72,191.704,115.792,92,138
73,141.566,117.724,102,132
74,234.653,116.344,91,129
75,187.649,119.500,92,133
76,188.570,123.123,98,137
77,95.299,110.381,89,123
78,196.312,117.365,99,131
79,202.579,106.891,89,119
80,175.851,116.158,91,143
81,147.096,114.206,93,133
82,202.764,102.403,80,121
83,228.939,110.730,86,125
84,155.575,113.674,95,126
85,130.690,117.700,96,135
86,146.912,111.040,88,129
87,132.718,118.653,100,130
88,178.248,119.571,93,140
89,181.750,115.853,90,134
90,272.441,118.277,100,134
91,242.579,114.479,85,134
92,178.616,114.721,88,134
93,246.634,115.260,88,135
94,213.271,113.013,86,132
95,196.496,107.568,91,126
96,196.496,107.568,91,126
97,182.487,111.317,92,125
98,154.653,109.120,86,132
99,223.962,129.231,96,172
100,229.860,110.050,78,167
101,149.123,108.590,88,126
102,189.861,108.074,82,123
103,155.759,112.698,95,125
104,177.510,111.218,89,132
105,221.750,110.834,94,128
106,167.741,97.622,84,118
107,150.782,107.610,91,126
108,205.529,113.834,82,135
109,200.367,114.521,92,131
110,187.649,106.427,88,127
111,175.667,112.058,88,130
112,176.589,111.748,92,134
113,192.810,108.172,88,125
114,191.520,113.334,90,128
115,154.285,114.789,95,129
116,133.824,116.269,99,128
117,149.492,121.699,96,138
118,192.625,109.800,91,123
119,223.040,113.812,96,132
120,188.570,109.388,87,125
121,192.441,117.754,99,138
122,245.528,115.480,87,133
123,107.649,104.510,87,130
124,184.331,99.394,83,114
125,133.640,117.219,90,138
126,163.133,113.742,97,129
127,186.727,118.366,99,136
128,179.169,113.127,97,132
129,124.792,107.366,86,122
130,186.543,108.507,86,134
131,126.635,117.326,85,131
132,168.663,116.471,93,133
133,142.856,117.319,96,136
134,245.160,113.473,93,132
135,168.847,120.368,99,132
136,138.248,123.020,97,139
137,213.455,126.681,113,144
138,203.132,115.594,94,127
139,260.459,118.336,92,136
140,166.082,124.518,107,140
141,190.967,108.608,89,122
142,152.994,107.588,91,121
143,234.100,119.517,99,133
144,132.349,118.606,93,141
