 ,Area,Mean,Min,Max
1,67064.087,101.185,68,139
2,60035.007,99.111,37,191
3,223.409,91.784,78,108
4,284.975,80.222,71,90
5,138.801,81.235,71,94
6,143.041,78.912,70,90
7,304.330,86.512,77,96
8,103.409,81.237,72,92
9,226.174,81.732,72,97
10,98.986,83.037,72,90
11,244.422,94.391,80,109
12,235.759,102.475,86,118
13,194.653,91.449,79,108
14,132.718,102.522,86,123
15,159.077,96.514,86,105
16,189.861,91.038,81,113
17,183.593,90.005,79,103
18,145.253,97.126,85,117
19,115.760,97.876,86,112
20,137.326,107.513,92,116
21,193.363,91.745,84,107
22,183.593,90.298,77,103
23,139.907,88.864,80,100
24,110.414,88.110,80,100
25,232.994,85.244,74,107
26,159.446,86.906,78,99
27,171.059,91.038,81,105
28,248.478,83.891,75,101
29,229.307,101.191,79,116
30,164.239,82.440,73,98
31,178.432,102.887,87,120
32,147.464,84.980,75,101
33,129.769,81.571,73,92
34,291.795,86.950,72,96
35,211.612,93.625,83,111
36,273.915,91.059,82,105
37,247.187,91.028,78,101
38,167.557,109.904,91,127
39,171.059,87.094,79,99
40,157.787,88.866,80,101
41,196.681,99.649,86,112
42,247.003,92.713,81,104
43,150.414,99.295,89,113
44,174.745,92.704,85,107
45,234.100,104.068,90,118
46,131.059,114.350,88,130
47,264.514,109.201,95,125
48,136.405,94.981,83,112
49,134.193,97.819,88,112
50,139.723,98.050,88,114
51,164.054,91.620,84,104
52,133.087,94.640,83,111
53,158.893,91.474,80,107
54,102.488,101.005,89,116
55,147.280,99.991,90,116
56,233.547,92.981,82,113
57,94.009,98.102,86,109
58,143.225,96.134,83,121
59,189.676,98.149,87,109
60,230.966,93.694,79,109
61,177.510,84.268,77,97
62,141.750,83.529,68,94
63,104.700,84.012,75,100
64,212.165,85.429,75,99
65,228.017,83.449,71,96
66,232.441,91.316,81,109
67,255.114,88.163,81,103
68,138.432,109.799,101,121
69,209.215,113.389,92,125
70,262.855,96.867,88,107
71,129.953,102.289,90,119
72,143.225,99.167,93,109
73,226.358,112.115,99,123
74,158.156,96.668,88,104
75,176.589,97.455,90,105
76,175.114,99.339,92,108
77,194.653,108.203,98,119
78,266.358,106.583,95,125
79,174.930,99.065,90,118
80,210.506,102.729,88,115
81,171.796,107.195,95,120
82,252.349,110.858,100,121
83,223.593,114.234,97,132
84,268.017,94.358,83,114
85,196.496,107.168,97,119
86,269.860,90.242,83,103
87,213.271,106.459,89,122
88,134.930,102.939,92,117
89,197.234,101.223,89,118
90,166.451,103.024,91,118
91,203.685,103.255,87,117
92,178.432,103.540,89,113
93,239.998,107.640,98,120
94,179.538,103.368,89,115
95,341.012,109.002,87,130
96,152.073,115.673,87,136
97,251.058,99.632,85,122
98,303.224,106.034,86,120
99,197.787,105.247,92,117
100,148.570,100.963,85,113
101,123.870,92.616,83,106
102,168.478,91.847,83,102
103,106.543,95.536,87,110
104,191.704,103.114,91,114
105,158.709,108.555,96,122
106,212.902,109.495,94,119
107,138.617,105.528,88,121
108,178.616,94.477,87,106
109,207.372,101.122,90,111
110,129.400,88.339,81,100
111,130.322,86.935,77,106
112,109.492,95.859,84,107
113,242.579,97.248,75,116
114,206.266,92.867,83,103
115,194.284,84.923,74,97
116,140.276,84.830,77,99
117,162.395,87.277,79,101
118,78.709,99.122,89,106
119,169.031,99.213,86,113
120,183.962,90.981,82,113
121,145.990,110.741,94,121
122,149.308,102.786,91,121
123,166.451,91.823,80,101
124,134.561,98.612,84,115
125,298.800,95.540,87,106
126,223.224,90.263,80,108
127,186.358,95.951,87,107
128,170.321,85.776,78,98
129,297.694,87.107,78,103
