 ,Area,Mean,Min,Max
1,52054.110,109.638,43,182
2,13442.664,102.186,55,158
3,396.069,120.897,90,146
4,143.184,117.645,78,134
5,258.435,123.576,91,147
6,382.934,123.691,83,149
7,165.383,125.059,99,150
8,299.133,115.720,89,139
9,272.494,119.729,94,144
10,305.053,113.386,90,149
11,290.253,109.136,89,132
12,514.279,118.607,91,157
13,351.301,119.583,86,156
14,249.185,117.052,82,141
15,342.606,120.194,81,154
16,257.510,109.294,68,140
17,335.946,104.575,68,138
18,371.095,114.653,75,142
19,414.198,113.199,61,144
20,290.438,115.877,81,144
21,293.213,108.307,79,134
22,593.641,119.088,77,152
23,382.009,116.796,81,151
24,248.630,110.066,75,138
25,513.169,113.950,71,139
26,442.317,111.861,67,136
27,386.264,112.549,68,137
28,408.278,109.904,80,138
29,224.396,117.557,89,140
30,384.044,109.201,82,139
31,288.033,115.394,72,149
32,434.362,113.154,69,144
33,416.788,112.114,77,140
34,606.590,119.344,76,155
35,273.234,104.307,73,136
36,480.055,118.282,83,150
37,784.183,118.530,72,151
38,388.484,103.593,81,135
39,277.489,116.582,88,137
40,212.741,103.867,85,126
41,507.989,114.867,64,140
42,434.732,110.673,60,134
43,370.540,112.493,78,150
44,564.227,119.777,82,173
45,342.606,113.727,82,144
46,248.630,120.257,93,145
47,311.897,117.083,81,139
48,266.019,111.073,77,140
49,255.290,114.266,79,148
50,119.135,114.321,89,137
51,168.898,115.750,75,146
52,197.942,106.679,70,132
53,260.099,107.385,84,129
54,836.166,120.897,84,151
55,417.158,111.844,70,137
56,458.966,119.301,81,156
57,306.903,118.484,88,146
58,353.336,116.873,92,144
59,506.879,113.641,76,142
60,476.726,116.570,98,144
61,201.087,120.168,98,138
62,413.643,112.477,78,137
63,293.398,110.564,78,137
64,279.709,115.519,90,137
65,545.543,102.594,68,138
66,458.411,106.370,85,133
67,909.793,113.524,81,150
68,495.040,114.273,75,153
69,317.817,103.529,68,137
70,343.531,104.742,68,141
71,292.843,115.268,92,149
72,221.806,123.026,94,157
73,170.193,115.208,94,136
74,176.483,115.042,84,139
75,184.438,120.352,91,151
76,86.022,109.961,92,139
77,182.033,113.948,92,137
78,254.180,111.609,91,139
79,297.653,110.413,80,132
80,518.904,115.397,81,143
81,484.680,111.879,81,150
82,408.648,110.430,64,143
83,324.477,107.571,79,146
84,414.198,110.518,92,160
85,281.559,107.092,78,136
86,267.684,118.912,89,144
87,410.683,123.949,94,153
88,251.960,114.167,93,136
89,368.690,117.827,81,142
90,415.308,114.166,71,136
91,374.055,105.982,74,142
92,645.069,105.264,67,141
93,360.920,104.790,77,135
94,305.238,121.196,91,147
95,373.870,118.260,87,140
96,427.703,114.662,73,141
97,196.832,114.486,86,145
98,215.516,114.152,87,143
99,214.036,107.509,66,140
100,310.972,104.601,76,146
101,334.281,117.284,82,157
102,359.810,117.034,97,154
103,311.712,108.117,81,153
104,288.773,115.127,91,140
105,643.404,113.673,77,145
106,258.989,111.784,81,151
107,231.241,118.218,77,158
108,329.842,114.317,89,140
109,457.116,104.387,69,129
110,288.958,110.808,57,137
111,246.225,108.998,83,149
112,130.235,109.857,80,131
113,284.888,101.266,66,132
114,329.102,97.003,67,122
115,155.579,102.427,83,133
116,130.050,96.454,64,123
117,226.986,109.544,88,132
118,187.397,102.805,60,140
