 ,Area,Mean,Min,Max
1,37967.858,108.318,40,154
2,35551.486,102.107,39,156
3,308.752,121.325,89,144
4,468.401,125.466,99,146
5,599.376,110.105,76,131
6,510.579,105.655,73,136
7,484.310,120.400,82,151
8,292.103,95.388,72,128
9,838.756,105.455,66,132
10,301.908,104.461,75,128
11,259.544,114.463,95,131
12,404.579,104.077,79,129
13,173.523,119.898,96,137
14,286.183,113.902,91,130
15,357.590,106.845,72,132
16,357.590,96.037,70,124
17,287.848,108.299,80,128
18,290.438,111.921,84,134
19,288.033,115.245,90,140
20,490.415,114.844,73,141
21,173.523,110.036,86,130
22,417.713,115.739,80,135
23,609.180,107.755,59,131
24,707.041,122.017,73,141
25,423.448,126.741,102,145
26,613.805,114.096,79,137
27,611.770,110.868,74,138
28,260.839,102.470,70,127
29,290.623,112.721,71,138
30,362.400,111.520,65,138
31,400.139,116.725,90,136
32,780.668,119.858,83,143
33,393.294,113.057,79,137
34,396.439,106.175,74,126
35,645.994,115.546,80,139
36,363.510,112.414,90,133
37,562.007,112.612,70,142
38,369.245,115.009,71,137
39,411.423,123.928,76,154
40,180.183,126.479,95,151
41,253.625,102.841,62,121
42,614.360,112.880,66,141
43,404.764,106.972,71,136
44,422.708,125.028,81,145
45,680.957,125.083,84,150
46,780.668,110.868,63,135
47,225.321,110.033,79,130
48,717.031,97.239,58,125
49,536.293,103.621,70,133
50,866.320,113.698,52,143
51,259.729,103.670,65,143
52,239.565,105.859,61,138
53,311.897,109.185,78,135
54,555.162,114.514,48,140
55,501.515,124.580,62,152
56,236.975,102.831,55,130
57,495.965,120.082,83,145
58,210.891,114.250,71,133
59,407.723,117.630,90,141
60,455.821,102.398,53,130
61,359.625,113.003,75,136
62,187.212,107.004,68,132
63,414.568,106.929,70,132
64,339.831,117.906,71,140
65,384.044,109.294,74,141
66,598.266,110.279,83,134
67,604.555,106.091,55,136
68,199.607,105.474,63,129
69,284.888,104.064,69,127
70,256.400,113.165,75,138
71,315.042,115.942,86,140
72,645.624,109.276,62,139
73,542.768,104.465,64,128
74,462.481,101.379,61,133
75,604.000,104.032,50,132
76,527.784,105.512,66,132
77,313.377,96.548,48,121
78,303.758,105.248,82,131
79,272.679,111.043,78,135
80,553.313,114.915,79,137
81,364.435,114.729,74,137
82,370.540,107.063,68,143
83,277.489,107.673,73,132
84,471.361,107.216,79,127
85,259.729,100.833,58,126
86,426.223,100.948,58,127
87,271.199,100.802,61,121
88,204.232,106.451,59,134
89,421.228,115.349,65,133
90,343.716,101.383,67,130
91,161.683,113.763,99,130
92,218.106,114.261,76,143
93,205.712,118.671,95,136
94,524.269,121.286,71,142
95,290.068,120.122,81,143
96,432.882,123.627,98,146
97,403.099,121.775,83,146
98,170.563,112.617,85,135
99,390.334,121.618,83,144
100,609.550,114.363,75,142
101,456.006,108.725,62,133
102,495.780,112.715,58,140
103,177.408,103.294,67,128
104,207.007,118.344,90,140
105,199.237,108.601,61,134
106,459.706,109.858,64,141
107,166.678,119.806,93,138
108,674.298,112.847,75,137
109,436.952,102.457,65,130
110,449.347,111.702,77,146
