 ,Area,Mean,Min,Max
1,658044.089,120.216,14,219
2,1801.166,194.677,89,219
3,1148.097,181.397,109,207
4,1241.867,132.784,74,169
5,1955.887,162.689,64,200
6,1387.796,157.958,58,194
7,1459.101,178.570,74,207
8,1226.825,172.832,89,208
9,1508.525,176.436,85,207
10,1357.126,179.779,77,204
11,1058.039,141.679,89,192
12,1459.882,182.705,89,210
13,1219.596,188.364,100,210
14,961.338,173.565,97,200
15,1046.903,176.244,120,196
16,792.161,152.486,90,181
17,1341.498,190.721,95,214
18,1284.454,178.116,93,205
